Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,0.406875,0.434896,0.405573,0.432552,0.426755,3456000
2010-02-12,0.420781,0.438073,0.418333,0.434323,0.428503,8601600
2010-02-16,0.444531,0.452188,0.437552,0.451146,0.445100,9619200
2010-02-17,0.457188,0.458906,0.450313,0.458802,0.452654,19180800
2010-02-18,0.458333,0.470260,0.455573,0.467500,0.461235,38860800
2010-02-19,0.464323,0.473594,0.460781,0.467500,0.461235,46483200
2010-02-22,0.473021,0.473021,0.458958,0.464219,0.457998,25497600
2010-02-23,0.461667,0.464167,0.439948,0.446094,0.440116,41126400
2010-02-24,0.453958,0.464844,0.451510,0.459583,0.453424,35308800
2010-02-25,0.444896,0.462448,0.435990,0.459323,0.453168,45619200
2010-02-26,0.457969,0.466979,0.453438,0.465052,0.458820,28800000
2010-03-01,0.470938,0.486979,0.470938,0.485000,0.478501,14227200
2010-03-02,0.489271,0.498438,0.486615,0.487917,0.481379,24211200
2010-03-03,0.493385,0.497656,0.485885,0.490625,0.484050,23980800
2010-03-04,0.492344,0.496719,0.484688,0.496042,0.489395,14726400
2010-03-05,0.506615,0.520260,0.503906,0.517969,0.511028,13440000
2010-03-08,0.518438,0.524479,0.518438,0.520729,0.513751,12672000
2010-03-09,0.517865,0.538073,0.517448,0.529948,0.522846,23212800
2010-03-10,0.530677,0.546146,0.530313,0.542917,0.535641,20044800
2010-03-11,0.539635,0.548698,0.536042,0.547917,0.540574,26956800
2010-03-12,0.553958,0.553958,0.542865,0.549167,0.541808,18067200
2010-03-15,0.545521,0.549219,0.533854,0.545469,0.538159,21196800
2010-03-16,0.550833,0.557344,0.545104,0.555781,0.548333,23289600
2010-03-17,0.557344,0.567552,0.555000,0.559635,0.552135,19910400
2010-03-18,0.561563,0.567083,0.557865,0.565313,0.557737,26092800
2010-03-19,0.555313,0.571510,0.549375,0.555313,0.547871,20025600
2010-03-22,0.548802,0.576979,0.546719,0.570313,0.562670,29395200
2010-03-23,0.574219,0.583490,0.565313,0.582240,0.574437,27667200
2010-03-24,0.578125,0.579375,0.570313,0.573958,0.566266,44620800
2010-03-25,0.587969,0.594115,0.569896,0.570365,0.562722,46963200
2010-03-26,0.578490,0.584323,0.564323,0.573333,0.565650,42144000
2010-03-29,0.581979,0.587135,0.576927,0.581198,0.573409,19027200
2010-03-30,0.585990,0.592344,0.575365,0.587292,0.579422,19948800
2010-03-31,0.580729,0.588542,0.575365,0.579375,0.571611,29779200
2010-04-01,0.585833,0.597031,0.565260,0.578229,0.570480,58310400
2010-04-05,0.582448,0.598438,0.578125,0.594948,0.586975,33792000
2010-04-06,0.590417,0.604896,0.586667,0.599479,0.591446,29356800
2010-04-07,0.597448,0.603958,0.585677,0.596094,0.588106,53126400
2010-04-08,0.590052,0.601719,0.581042,0.598229,0.590212,34828800
2010-04-09,0.600208,0.610469,0.595573,0.609010,0.600849,29049600
2010-04-12,0.611094,0.616146,0.607083,0.611458,0.603264,24403200
2010-04-13,0.609479,0.621667,0.603958,0.620677,0.612359,33619200
2010-04-14,0.629531,0.643073,0.628229,0.642552,0.633941,30547200
2010-04-15,0.641875,0.653542,0.641302,0.651146,0.642420,22886400
2010-04-16,0.644271,0.650573,0.615885,0.627969,0.619554,64742400
2010-04-19,0.622083,0.632708,0.604167,0.626979,0.618577,56371200
2010-04-20,0.636719,0.640625,0.624792,0.636250,0.627724,28051200
2010-04-21,0.649167,0.652969,0.635417,0.647448,0.638772,41990400
2010-04-22,0.628542,0.659219,0.617813,0.657031,0.648226,61420800
2010-04-23,0.657656,0.667813,0.649896,0.665729,0.656808,41184000
2010-04-26,0.666198,0.671198,0.657552,0.660781,0.651926,40262400
2010-04-27,0.654375,0.661354,0.614583,0.620000,0.611691,66873600
2010-04-28,0.629531,0.630156,0.606406,0.621458,0.613130,62534400
2010-04-29,0.630104,0.656302,0.630052,0.653177,0.644424,42374400
2010-04-30,0.652188,0.655260,0.613073,0.614688,0.606451,44256000
2010-05-03,0.621875,0.649063,0.621719,0.639792,0.631218,26304000
2010-05-04,0.615573,0.615625,0.569323,0.583229,0.575413,68620800
2010-05-05,0.564948,0.583906,0.554167,0.573646,0.565959,69254400
2010-05-06,0.561823,0.578021,0.354167,0.517448,0.510514,108902400
2010-05-07,0.503750,0.522552,0.446406,0.479792,0.473362,124128000
2010-05-10,0.540365,0.552969,0.537396,0.551354,0.543965,94636800
2010-05-11,0.535781,0.572917,0.532656,0.550990,0.543606,73516800
2010-05-12,0.558542,0.581875,0.556458,0.580677,0.572895,54278400
2010-05-13,0.575104,0.587188,0.550938,0.554427,0.546997,52780800
2010-05-14,0.540833,0.541563,0.502604,0.520313,0.513340,77088000
2010-05-17,0.525365,0.533177,0.493750,0.527344,0.520277,68428800
2010-05-18,0.540208,0.543229,0.497917,0.507188,0.500391,95308800
2010-05-19,0.498438,0.510417,0.476198,0.493802,0.487185,118886400
2010-05-20,0.463906,0.467240,0.434635,0.443854,0.437906,136492800
2010-05-21,0.416823,0.461094,0.412396,0.447292,0.441298,117158400
2010-05-24,0.449740,0.466406,0.445781,0.450990,0.444946,77510400
2010-05-25,0.417500,0.449219,0.404167,0.447813,0.441812,86323200
2010-05-26,0.454740,0.473438,0.430625,0.433958,0.428143,104160000
2010-05-27,0.462865,0.482135,0.459115,0.480938,0.474493,86611200
2010-05-28,0.484115,0.485469,0.460938,0.474219,0.467864,83347200
2010-06-01,0.469219,0.493438,0.458333,0.461094,0.454915,101356800
2010-06-02,0.468750,0.493542,0.458750,0.493542,0.486928,56716800
2010-06-03,0.497188,0.509167,0.487813,0.506354,0.499568,57427200
2010-06-04,0.474583,0.493490,0.449688,0.456354,0.450238,122976000
2010-06-07,0.460781,0.465833,0.429167,0.429896,0.424135,84364800
2010-06-08,0.432969,0.435833,0.410469,0.427500,0.421771,132960000
2010-06-09,0.436146,0.448385,0.413281,0.418073,0.412470,114720000
2010-06-10,0.432656,0.453646,0.429115,0.452760,0.446693,77760000
2010-06-11,0.438698,0.466406,0.438698,0.464583,0.458357,62668800
2010-06-14,0.478385,0.487552,0.462969,0.464844,0.458615,113702400
2010-06-15,0.472552,0.504219,0.471146,0.498802,0.492118,100051200
2010-06-16,0.498385,0.515625,0.495938,0.508854,0.502035,79180800
2010-06-17,0.516823,0.517604,0.500729,0.513958,0.507071,81523200
2010-06-18,0.516615,0.525729,0.510208,0.515365,0.508459,69792000
2010-06-21,0.534167,0.536458,0.493333,0.501823,0.495098,109958400
2010-06-22,0.507604,0.518646,0.487396,0.489948,0.483382,89798400
2010-06-23,0.491771,0.496823,0.472396,0.483385,0.476907,112358400
2010-06-24,0.477604,0.481771,0.457292,0.459948,0.453784,119712000
2010-06-25,0.465938,0.471146,0.449844,0.459635,0.453475,88780800
2010-06-28,0.460000,0.466875,0.445625,0.455521,0.449417,82080000
2010-06-29,0.434115,0.434896,0.392708,0.404688,0.399265,219110400
2010-06-30,0.398646,0.410052,0.381510,0.384688,0.379533,91833600
2010-07-01,0.386823,0.390052,0.358646,0.380938,0.375833,126163200
2010-07-02,0.381927,0.386354,0.367188,0.378854,0.373777,73689600
2010-07-06,0.393333,0.400573,0.371250,0.380833,0.375730,78278400
2010-07-07,0.384115,0.417969,0.383177,0.416823,0.411237,80390400
2010-07-08,0.426823,0.428490,0.409167,0.423854,0.418174,103680000
2010-07-09,0.422760,0.437500,0.420521,0.435729,0.429890,71328000
2010-07-12,0.434115,0.447240,0.431458,0.440677,0.434772,49459200
2010-07-13,0.450990,0.461563,0.441250,0.455729,0.449622,87072000
2010-07-14,0.459635,0.470781,0.453698,0.463021,0.456816,54758400
2010-07-15,0.461094,0.468698,0.446094,0.464635,0.458408,57100800
2010-07-16,0.460573,0.461146,0.425208,0.427240,0.421515,90681600
2010-07-19,0.429688,0.439583,0.419323,0.436875,0.431020,62112000
2010-07-20,0.415208,0.452500,0.411875,0.450677,0.444638,63974400
2010-07-21,0.467708,0.467708,0.431979,0.434896,0.429068,86246400
2010-07-22,0.451875,0.473177,0.451875,0.464219,0.457998,63225600
2010-07-23,0.457708,0.476875,0.455156,0.476302,0.469919,69427200
2010-07-26,0.478385,0.488125,0.471719,0.486771,0.480248,50380800
2010-07-27,0.493958,0.496146,0.480573,0.486667,0.480145,59846400
2010-07-28,0.485677,0.491771,0.470313,0.476719,0.470331,38784000
2010-07-29,0.483333,0.486458,0.450625,0.465365,0.459129,76377600
2010-07-30,0.453542,0.476250,0.445365,0.468542,0.462263,64915200
2010-08-02,0.485885,0.497396,0.480521,0.493750,0.487133,45081600
